Timestamp,Discord Name (Example#9999) / Twitter Name (@Example1234),Nickname (Leave blank to remain anonymous),Where do you live / 居住地. ,Display Icon/Picture (.png),Fan Message (Maximum 300 characters),(Optional) Illustration Submission - .png or .psd files preferred,**Fill only if you submitted a commissioned work** Artist Name/TwitterID - Leave blank if you submitted your own work
4/25/2021 18:44:38,Discordユーザー名(くらうでぃ#0957)/Twitterユーザー名(@handoreika),くらうでぃ,Taiwan,https://drive.google.com/open?id=1jqY0Al9gjmGvCodjVVQnkLTOGkUWk67F,時の流れ速いね、初配信からもう8ヶ月立った、そう考えると凄いエモいな気持ちを感じた、この八ヶ月間色んな雪民達と会えて、私は凄く嬉しいです、この間、朝活、晩酌、ゲーム実況、コラボ、ASMR癒し配信、様々な配信本当に楽しかったからありがとうしか言えないです、本当にいつもありがとう、ラミィちゃんの事大好きです、これからもよろしくね,,
4/25/2021 18:45:34,すぎ#5842/@thankshololive,すぎちゃん,Japan,https://drive.google.com/open?id=1XtUrVg5McihikCTI_aGUw0z7_STq8wi2,"ラミィちゃんいつもありがとう！！自分はアーカイブ民ですが配信で毎日の疲れを癒させてもらってます！！ラミィちゃんはコラボもリスナーとの絡みも最強で、高評価した切り抜きはラミィちゃんだらけです笑
そして、改めてデビュー1年おめでとう👏毎日魅力的なラミィちゃんをデビューの頃から推せてこれたのは本当に嬉しいです！！来年は受験があるのであまり追えないんですが、必ずまた帰ってきます。その時も元気でいてほしいので、どうかお体には気をつけてください。",,
4/25/2021 20:02:13,ZuRaーズラー#2075 / @_xxZURAxx,ZuRaーズラー,Indonesia,https://drive.google.com/open?id=1XkL3jmWBMpPmabW1RWIJzdhU1Mz6NEFf,"Congratulations on the 1st anniversary of your debut!! there was already a year you accompany my daily, I am very happy!! keep fighting, stay healthy and don't drink too much!! I LOVE YOU!!",,
4/26/2021 23:47:52,MistExile#0311,Mistle,Philippines,https://drive.google.com/open?id=1WyRPcd4Vwtxpc3z1qr3bGNOL03rB87i7,Happy 1 year anniversary Lamy-chan ever since I started watching your streams my life became more colorful and I actually look forward everyday to your streams whatever time it may be plus I always love seeing you with Shishiron it just makes my heart skip a beat ShishiLamy is the best ship for me~,,
4/29/2021 9:02:56,@1MiiSan,mii,United States of America,https://drive.google.com/open?id=15FvlyMBugIFvZxdqYWmbsZOvaLxk4ZeX,"Happy 1st Anniversary Lamy!  Thank you for all the fun and interesting content you provide.
I hope to watch more of your streams in the next year!",,
5/6/2021 23:23:26,@pao_tct,Pao_TH,Thailand,,"ラミィちゃん
良い配達をありがとう
大好きだよ",,
6/11/2021 18:45:44,@_K_le,Forever9Nine,Singapore,https://drive.google.com/open?id=1FVHEujsKGKSWvS4BACxhloeGrzDxs3Nx,"Congratulation on 1st Anniversary, Lamy-chan!",https://drive.google.com/open?id=1-Zge7kCPzKPL1feClaKbu19rmTWDmq7L,
6/14/2021 17:46:01,Wei Lee#9119 / @SakuraBot30001,HoloFan Lee,Prefer not to say / 答えたくない,,"Happy 1 Year Anniversary Lamy!!!

You are a ray of sunshine that has helped brighten up my life and your morning streams have been great to start the day with. I wish you more success and hope you continue to achieve more of your dreams.",,
6/14/2021 18:39:35,MistExile#0311,Mist,Philippines,https://drive.google.com/open?id=1U9kJvflmNNp1T525_l6SI4UUVHHyONZI,Lamy-Chan! I've been watching you ever since your debut and I can say that I've enjoyed every stream I especially like when you have interactions with your senpai's but everything is different when it's with shishiron its very teetee. Thank you for all your hard work and we will always support you!,,
6/16/2021 20:54:19,大狼光記(OkamiMitsuki)#8163,大狼光記,Japan,https://drive.google.com/open?id=1KC5CfrtGMa7jxDnx4C3FbHRUrLPJ8NUf,"親愛なるラミィちゃんへ
デビュー1周年おめでとうございます｡

初めてデビュー当時から推しているホロメンなので､他の度の記念配信よりも考え深いです｡
この一年は自分にとっても色々な事があったけど､いつも楽しい配信をしてくれたおかげで､あっという間でした｡

デビュー初日に緊張しているラミィちゃんや､晩酌で限界化しているラミィちゃん､
ホロメンとコラボしたり､ライブの同時試聴でオタク化しているラミィちゃん､
どの表情も最高に可愛いです｡

これからも色々な表情を見れることを楽しみにしています｡
体と心を大切にして､これからも2周年､3周年と活動し続けてくれると嬉しいです｡",,
6/24/2021 0:11:55,T1stG#7707,T1stG,Singapore,,"Congratulations & happy first anniversary! :D it's been an eventful year and i'm glad i've become a yukimin, lamy has been a source of happiness for many of us i'm sure ^-^
Looking forward to another year with lamy, we love you <3",,
